Total Game,Player Win,Dealer Win,Push,Player Winning Type,High Card,Dealer Bust,21,Dealer Winning Type,High Card,Player Bust,Money,Max Money
5127,2091,2044,992,,869,249,973,,963,1081,18150.00,18500.00
5125,2108,2103,914,,885,223,1000,,984,1119,12650.00,12900.00
784,304,332,148,,130,36,138,,151,181,0.00,4250.00
60,20,30,10,,10,0,10,,16,14,0.00,1200.00
37,10,22,5,,5,3,2,,10,12,-50.00,1200.00
5129,2125,2021,983,,883,225,1017,,967,1054,22650.00,25950.00
5141,2143,2041,957,,896,244,1003,,1004,1037,23400.00,25200.00
117,41,53,23,,22,4,15,,29,24,0.00,1100.00
135,50,62,23,,23,4,23,,27,35,0.00,1700.00
5134,2106,2090,938,,869,231,1006,,1014,1076,14150.00,15350.00
5156,2183,2050,923,,920,248,1015,,1031,1019,26700.00,27300.00
141,46,59,36,,20,5,21,,22,37,-50.00,1750.00
5142,2102,2076,964,,866,236,1000,,1030,1046,15400.00,16400.00
5140,2129,2083,928,,870,242,1017,,1056,1027,17700.00,18400.00
5132,2122,2055,955,,864,264,994,,1021,1034,20900.00,21100.00
5123,2070,2108,945,,835,239,996,,1015,1093,9150.00,12800.00
174,64,76,34,,25,4,35,,34,42,0.00,1550.00
5129,2117,2088,924,,854,277,986,,989,1099,17750.00,18350.00
365,135,153,77,,56,16,63,,68,85,0.00,2100.00
51,15,25,11,,7,0,8,,9,16,0.00,1100.00
5147,2095,2087,965,,867,249,979,,1001,1086,14250.00,14950.00
896,348,373,175,,141,30,177,,181,192,0.00,4750.00
5143,2140,2086,917,,861,239,1040,,1054,1032,18350.00,20850.00
463,186,206,71,,92,19,75,,97,109,-50.00,2550.00
5125,2137,2061,927,,832,272,1033,,1000,1061,22200.00,23100.00
383,154,176,53,,60,23,71,,76,100,-50.00,2600.00
5123,2078,2125,920,,834,226,1018,,1039,1086,7600.00,8500.00
237,91,106,40,,31,9,51,,52,54,-50.00,1750.00
5144,2168,2043,933,,934,235,999,,1007,1036,25250.00,26000.00
5161,2177,2072,912,,903,272,1002,,1017,1055,25100.00,25350.00
363,144,161,58,,63,14,67,,82,79,0.00,3050.00
5131,2066,2118,947,,836,246,984,,1031,1087,8100.00,11050.00
5124,2122,2097,905,,903,236,983,,1027,1070,15300.00,15450.00
5117,2097,2097,923,,879,243,975,,992,1105,13150.00,16150.00
20,3,13,4,,1,0,2,,7,6,0.00,1100.00
5160,2116,2050,994,,855,252,1009,,1050,1000,20200.00,21300.00
5133,2175,2038,920,,918,250,1007,,980,1058,27200.00,27900.00
155,53,65,37,,22,3,28,,30,35,-50.00,1350.00
30,7,18,5,,3,1,3,,11,7,-50.00,1250.00
770,302,327,141,,135,30,137,,159,168,0.00,3600.00
5129,2169,2016,944,,871,240,1058,,987,1029,28300.00,29300.00
